Pa?stwo;Kontynent;Stolica;Powierzchnia (km?);Liczba ludno?ci;G?sto?? zaludnienia (os./km?)
Papua-Nowa Gwinea;Australia i Oceania;Port Moresby;462ÿ840;5ÿ932ÿ000;12,8
Paragwaj;Ameryka Po?udniowa;Asunci?n;406ÿ750;6ÿ670ÿ000;16,4
Peru;Ameryka Po?udniowa;Lima;1ÿ285ÿ220;29ÿ181ÿ000;23
Polska;Europa;Warszawa;322ÿ575;38ÿ200ÿ037;120,92
Po?udniowa Afryka;Afryka;Pretoria (stolica egzekutywna);1ÿ219ÿ912;48ÿ783ÿ000;40
Portugalia;Europa;Lizbona;92ÿ391;10ÿ677ÿ000;116
Republika ?rodkowoafryka?ska;Afryka;Bangi;622ÿ984;4ÿ370ÿ000;7
Republika Zielonego Przyl?dka;Afryka;Praia;4033;499ÿ796;118
Rosja;Azja, Europa;Moskwa;17ÿ075ÿ400;142ÿ914ÿ136;8,4
Rumunia;Europa;Bukareszt;238ÿ391;22ÿ215ÿ421;91
Rwanda;Afryka;Kigali;26ÿ338;10ÿ186ÿ000;387
Saint Kitts i Nevis;Ameryka P??nocna;Basseterre;261;38ÿ819;149
Saint Lucia;Ameryka P??nocna;Castries;616;164ÿ213;266,6
Saint Vincent i Grenadyny;Ameryka P??nocna;Kingstown;389;119ÿ000;307
Salwador;Ameryka P??nocna;San Salvador;21ÿ040;6ÿ820ÿ000;324
Samoa;Australia i Oceania;Apia;2944;177ÿ714;60
San Marino;Europa;San Marino;61,6;31ÿ817;487
Senegal;Afryka;Dakar;196ÿ190;12ÿ521ÿ851;64
Serbia;Europa;Belgrad;77ÿ474;7ÿ498ÿ001;94,8
Seszele;Afryka;Victoria;455;86ÿ525;190
Sierra Leone;Afryka;Freetown;71ÿ740;6ÿ150ÿ000;86
Singapur;Azja;Singapur;692,7;4ÿ608ÿ000;6652
S?owacja;Europa;Bratys?awa;49ÿ035;5ÿ455ÿ000;111
S?owenia;Europa;Lublana;20ÿ273;2ÿ039ÿ399;99
Somalia;Afryka;Mogadiszu;637ÿ700;9ÿ559ÿ000;15
Sri Lanka;Azja;Sri D?ajawardanapura Kotte;65ÿ610;20ÿ010ÿ000;320
Stany Zjednoczone;Ameryka P??nocna;Waszyngton;9ÿ373ÿ967;311ÿ280ÿ492;32,23
Sudan;Afryka;Chartum;1ÿ886ÿ068;30ÿ894ÿ000;16,4
Sudan Po?udniowy;Afryka;D?uba;589ÿ745;8ÿ260ÿ490 (kwestionowana);
Surinam;Ameryka Po?udniowa;Paramaribo;163ÿ270;476ÿ000;2,9
Syria;Azja;Damaszek;185ÿ180;19ÿ748ÿ000;107
Szwajcaria;Europa;brak oficjalnej stolicy, siedzib? rz?du jest Berno;41ÿ290;7ÿ725ÿ200;186
Szwecja;Europa;Sztokholm;449ÿ964;9ÿ331ÿ523;20
Tad?ykistan;Azja;Duszanbe;143ÿ100;7ÿ100ÿ000;50
Tajlandia;Azja;Bangkok;514ÿ000;65ÿ493ÿ000;127
Tanzania;Afryka;Dodoma;945ÿ087;39ÿ384ÿ223;42
Timor Wschodni;Azja;Dili;15ÿ007;1ÿ109ÿ000;74
Togo;Afryka;Lom?;56ÿ785;5ÿ400ÿ000;95
Tonga;Australia i Oceania;Nuku?alofa;748;119ÿ009;144
Trynidad i Tobago;Ameryka Po?udniowa;Port-of-Spain;5128;1ÿ229ÿ000;206
Tunezja;Afryka;Tunis;163ÿ610;10ÿ384ÿ000;63,5
Turcja;Azja, Europa;Ankara;783ÿ562;77ÿ804ÿ122;92
Turkmenistan;Azja;Aszchabad;488ÿ100;5ÿ180ÿ000;11
Tuvalu;Australia i Oceania;Vaiaku;26;12ÿ373;475,9
Uganda;Afryka;Kampala;236ÿ036;32ÿ369ÿ558;136
Ukraina;Europa;Kij?w;603ÿ700;45ÿ706ÿ126;77
Urugwaj;Ameryka Po?udniowa;Montevideo;176ÿ220;3ÿ477ÿ779 (2008);20
