Państwo;Kontynent;Stolica;Powierzchnia (km²);Liczba ludności;Gęstość zaludnienia (os./km²);
Wietnam;Azja;Hanoi;331 051,4;86 024 600;260;
Włochy;Europa;Rzym;301 230;60 418 711;199,8;
Wybrzeże Kości Słoniowej;Afryka;Jamusukro;322 460;18 373 000;57;
Wyspy Marshalla;Australia i Oceania;Majuro;181;59 071;326;
Wyspy Salomona;Australia i Oceania;Honiara;28 450;552 000;20;
Wyspy Świętego Tomasza i Książęca;Afryka;São Tomé;1001;193 410;187;
Zambia;Afryka;Lusaka;752 614;11 500 000;15,3;
Zimbabwe;Afryka;Harare;390 580;12 383 000;32;
Zjednoczone Emiraty Arabskie;Azja;Abu Zabi;83 600;4 621 000;55;
;;;;;;
;;;;;;
